iteration,job_id,Qubit,shots,no_dd_evs,no_dd_std,dd_xx_evs,dd_xx_std,dd_xpxm_evs,dd_xpxm_std
0,d4lnpvh0i6jc73dg05f0,7,4096,-0.70361328125,0.011102861030326476,-0.708984375,0.011019127944873542,-0.6962890625,0.011215023117066052
0,d4lnq090i6jc73dg05gg,8,4096,0.62646484375,0.012178901208837,0.6552734375,0.011802996364086455,0.63818359375,0.01202944082043011
0,d4lnq0qv0j9c73e5h700,9,4096,-0.5712890625,0.012824202040499614,-0.5986328125,0.012515993243239988,-0.60546875,0.012435454377683692
0,d4lnq1d74pkc7388755g,10,4096,0.52197265625,0.013327534663502665,0.5673828125,0.012866471159473218,0.55224609375,0.013026267894461104
1,d4lnq1t74pkc7388756g,7,4096,-0.6962890625,0.011215023117066052,-0.68115234375,0.011439714230297432,-0.68017578125,0.011453891373158866
1,d4lnq290i6jc73dg05jg,8,4096,0.638671875,0.012023112468031791,0.63720703125,0.012042073047147744,0.64111328125,0.01199134779841993
1,d4lnq2qv0j9c73e5h730,9,4096,-0.548828125,0.01306148778607503,-0.60693359375,0.012418008564713912,-0.58544921875,0.012667329373752714
1,d4lnq3c3tdfc73dploo0,10,4096,0.54638671875,0.013086453381376168,0.54248046875,0.013126068976415902,0.54345703125,0.013116202922259356
2,d4lnq3qv0j9c73e5h740,7,4096,-0.69775390625,0.011192774227178985,-0.67724609375,0.011496196387160394,-0.6640625,0.011682454167444898
2,d4lnq490i6jc73dg05lg,8,4096,0.634765625,0.01207351142196172,0.6484375,0.011894810865902135,0.64208984375,0.011978584330249937
2,d4lnq4h0i6jc73dg05m0,9,4096,-0.57177734375,0.01281888816712885,-0.59814453125,0.012521691333111833,-0.59228515625,0.012589506629308885
2,d4lnq5574pkc738875ag,10,4096,0.5126953125,0.013415166001317397,0.54443359375,0.013106311676473076,0.548828125,0.01306148778607503
3,d4lnq5iv0j9c73e5h76g,7,4096,-0.6845703125,0.011389794286019604,-0.66357421875,0.011689225894150322,-0.697265625,0.011200200631588341
3,d4lnq62v0j9c73e5h780,8,4096,0.6337890625,0.012086030161403142,0.6650390625,0.011668883959849706,0.623046875,0.012221632807630669
3,d4lnq6k3tdfc73dplotg,9,4096,-0.57763671875,0.012754593048618697,-0.60595703125,0.012429646510368918,-0.60546875,0.012435454377683692
3,d4lnq6s3tdfc73dploug,10,4096,0.51025390625,0.013437872007537903,0.5400390625,0.013150624270157436,0.53076171875,0.013242517030464232
4,d4lnq790i6jc73dg05s0,7,4096,-0.70849609375,0.01102679271162403,-0.69189453125,0.011281227900194146,-0.6728515625,0.011559023705053613
4,d4lnq7s3tdfc73dplp00,8,4096,0.6416015625,0.011984970191763132,0.64990234375,0.011875276966221747,0.65283203125,0.011835979671686411
4,d4lnq8c3tdfc73dplp10,9,4096,-0.5712890625,0.012824202040499614,-0.576171875,0.01277075870667393,-0.57666015625,0.01276537698842738
4,d4lnq8qv0j9c73e5h7bg,10,4096,0.48486328125,0.013665468128239749,0.52490234375,0.01329941340273601,0.505859375,0.013478374359403255
