iteration,job_id,Qubit,shots,no_dd_evs,no_dd_std,dd_xx_evs,dd_xx_std,dd_xpxm_evs,dd_xpxm_std
0,d4ln5710i6jc73dfvhj0,7,4096,-0.7099609375,0.011003766525161461,-0.70458984375,0.011087731114641688,-0.71630859375,0.010902869266041707
0,d4ln57qv0j9c73e5gj80,8,4096,0.5009765625,0.013522825789762093,0.599609375,0.012504575309264436,0.5986328125,0.012515993243239988
0,d4ln58s3tdfc73dpl4dg,9,4096,-0.62890625,0.012148142869326518,-0.62109375,0.012245879346318269,-0.6171875,0.01229400170771083
0,d4ln59p0i6jc73dfvhn0,10,4096,0.58642578125,0.012656296325969683,0.60791015625,0.012406340934884979,0.5810546875,0.012716633059911685
1,d4ln5ah0i6jc73dfvhog,7,4096,-0.7060546875,0.011064957996913335,-0.71044921875,0.010996069827655091,-0.70458984375,0.011087731114641688
1,d4ln5bc3tdfc73dpl4gg,8,4096,0.27587890625,0.015018631244054777,0.38330078125,0.014431618383036552,0.37109375,0.014509303224358543
1,d4ln5bt74pkc73886h80,9,4096,-0.619140625,0.012270002070067681,-0.61669921875,0.012299982469431618,-0.61669921875,0.012299982469431618
1,d4ln5cl74pkc73886ha0,10,4096,0.60595703125,0.012429646510368918,0.60693359375,0.012418008564713912,0.61767578125,0.012288013298118888
2,d4ln5dav0j9c73e5gje0,7,4096,-0.6953125,0.011229805304791918,-0.6923828125,0.011273911664432588,-0.68994140625,0.01131039405403982
2,d4ln5ec3tdfc73dpl4jg,8,4096,0.279296875,0.01500319998106031,0.40185546875,0.014307861064503737,0.357421875,0.014592860010933505
2,d4ln5f10i6jc73dfvhtg,9,4096,-0.626953125,0.012172765322187333,-0.607421875,0.012412178465548113,-0.62890625,0.012148142869326518
2,d4ln5fp0i6jc73dfvhv0,10,4096,0.6044921875,0.012447047953106779,0.62109375,0.012245879346318269,0.6025390625,0.012470146755273252
3,d4ln5gk3tdfc73dpl4n0,7,4096,-0.6748046875,0.011531193192272284,-0.70849609375,0.01102679271162403,-0.716796875,0.010895031837843147
3,d4ln5h10i6jc73dfvi10,8,4096,0.27001953125,0.015044606954776633,0.400390625,0.014317883705414865,0.38134765625,0.014444245288057126
3,d4ln5hqv0j9c73e5gjjg,9,4096,-0.59619140625,0.012544411408914543,-0.60205078125,0.012475903109495742,-0.58935546875,0.01262302865424443
3,d4ln5ip0i6jc73dfvi30,10,4096,0.58056640625,0.012722076576005662,0.59228515625,0.012589506629308885,0.58349609375,0.012689311645004456
4,d4ln5jh0i6jc73dfvi4g,7,4096,-0.6875,0.011346630897092041,-0.69287109375,0.011266585511299226,-0.68798828125,0.011339403058982008
4,d4ln5kd74pkc73886hjg,8,4096,0.2724609375,0.015033856952470285,0.365234375,0.014545556224781207,0.37939453125,0.014456796743551914
4,d4ln5l43tdfc73dpl4sg,9,4096,-0.63232421875,0.012104747930320247,-0.5849609375,0.012672835405951894,-0.59765625,0.01252738218477049
4,d4ln5liv0j9c73e5gjog,10,4096,0.591796875,0.012595111382878976,0.61083984375,0.012371159099403846,0.619140625,0.012270002070067681
