circuit_id,qubit,sparsity_by_layer,sparsity_by_time,mean_dt,sd_dt,hellinger_fidelity_no_dd,hellinger_fidelity_dd
1,58,0.662721893,0.780280192,244.44,268.17,0.894776816,0.875515154
1,59,0.166666667,0.115833333,64.87,116.11,0.894776816,0.875515154
1,60,0.409326425,0.557996362,265.87,281.9,0.894776816,0.875515154
1,61,0.704081633,0.702717031,294.56,287.92,0.894776816,0.875515154
1,72,0.682291667,0.7111144,266.94,305.63,0.894776816,0.875515154
2,55,0.458823529,0.492244898,100.5,105.2,0.890066027,0.887220358
2,65,0.141176471,0.142686567,53.11,122.04,0.890066027,0.887220358
2,66,0.488095238,0.733009709,116.15,91.62,0.890066027,0.887220358
3,57,0.702247191,0.708907363,373.06,364.78,0.882839559,0.845973719
3,58,0.38547486,0.488422247,286.87,238.81,0.882839559,0.845973719
3,59,0.258883249,0.413647059,219.75,392.87,0.882839559,0.845973719
3,60,0.394871795,0.353252773,266.75,252.59,0.882839559,0.845973719
3,61,0.502590674,0.342348511,200,169.5,0.882839559,0.845973719
3,62,0.662857143,0.771392879,343.06,523.22,0.882839559,0.845973719
3,72,0.724489796,0.810161212,518.25,524.14,0.882839559,0.845973719
4,28,0.840909091,0.85694266,1334.18,1676.46,0.489212855,0.462982058
4,29,0.659090909,0.617365409,660.81,1320.87,0.489212855,0.462982058
4,36,0.449438202,0.467488022,327.84,620.3,0.489212855,0.462982058
4,44,0.858299595,0.840252819,1130,2052.38,0.489212855,0.462982058
4,45,0.664259928,0.697101765,799.75,932.67,0.489212855,0.462982058
4,46,0.345890411,0.338860156,257.04,333.12,0.489212855,0.462982058
4,47,0.392857143,0.397956452,330.33,660.95,0.489212855,0.462982058
4,48,0.45323741,0.48506348,293.32,559.6,0.489212855,0.462982058
4,55,0.700680272,0.550994036,482,661.6,0.489212855,0.462982058
4,65,0.847972973,0.852901024,1590.27,2158.57,0.489212855,0.462982058
5,27,0.747433265,0.829176334,340.36,416.39,0.808498897,0.79290608
5,28,0.43647541,0.501361316,226.64,313.71,0.808498897,0.79290608
5,29,0.132653061,0.105352113,63.97,106.53,0.808498897,0.79290608
5,30,0.641137856,0.744171588,260.22,244.65,0.808498897,0.79290608
5,36,0.693251534,0.797225305,368.36,389.17,0.808498897,0.79290608
6,28,0.69955157,0.773847601,262.53,338.92,0.889822916,0.869194098
6,29,0.13034188,0.116538031,76.08,138.49,0.889822916,0.869194098
6,30,0.755991285,0.903419062,392.87,380.57,0.889822916,0.869194098
6,36,0.396186441,0.391491131,197.09,249.38,0.889822916,0.869194098
6,48,0.710784314,0.755578584,312.49,339.67,0.889822916,0.869194098
GHZ_2,51,0.333333333,0.470449173,398,0,0.967193811,0.965786976
GHZ_2,52,0.142857143,0.315533981,390,0,0.967193811,0.965786976
GHZ_5,45,0.6,0.800178412,897,507,0.875116993,0.838305821
GHZ_5,46,0.5,0.735421166,681,283,0.875116993,0.838305821
GHZ_5,55,0.363636364,0.63256785,454.5,31.5,0.875116993,0.838305821
GHZ_5,65,0.222222222,0.297082228,448,0,0.875116993,0.838305821
GHZ_5,66,0.333333333,0.47184466,486,0,0.875116993,0.838305821
GHZ_7,43,0.714285714,0.864118896,1424.5,1034.5,0.807746822,0.744881073
GHZ_7,44,0.65,0.831441348,1208.5,810.5,0.807746822,0.744881073
GHZ_7,45,0.588235294,0.793338684,988.5,565.5,0.807746822,0.744881073
GHZ_7,46,0.5,0.736842105,756,308,0.807746822,0.744881073
GHZ_7,55,0.363636364,0.6357908,504.5,31.5,0.807746822,0.744881073
GHZ_7,65,0.222222222,0.300361882,498,0,0.807746822,0.744881073
GHZ_7,66,0.333333333,0.474336283,536,0,0.807746822,0.744881073
GHZ_13,17,0.846153846,0.936718958,3523,3133,0.648740103,0.497002265
GHZ_13,27,0.815789474,0.923724061,3294,2896,0.648740103,0.497002265
GHZ_13,28,0.8,0.916193606,3066.5,2620.5,0.648740103,0.497002265
GHZ_13,29,0.78125,0.904463712,2816.5,2342.5,0.648740103,0.497002265
GHZ_13,36,0.75862069,0.893799127,2558.5,2047.5,0.648740103,0.497002265
GHZ_13,46,0.65,0.832021643,1691.5,1105.5,0.648740103,0.497002265
GHZ_13,47,0.695652174,0.8583118,1993,1432,0.648740103,0.497002265
GHZ_13,48,0.730769231,0.878198961,2282,1746,0.648740103,0.497002265
GHZ_13,55,0.588235294,0.791799018,1371,760,0.648740103,0.497002265
GHZ_13,65,0.5,0.732275132,1038,402,0.648740103,0.497002265
GHZ_13,66,0.363636364,0.644536653,699,25,0.648740103,0.497002265
GHZ_13,67,0.222222222,0.313172043,699,0,0.648740103,0.497002265
GHZ_13,68,0.333333333,0.477572559,724,0,0.648740103,0.497002265
