iteration,job_id,Qubit,shots,no_dd_evs,no_dd_std,dd_evs,dd_std
0,d47kt1d5mhvc73f83ta0,7,4096,0.1162109375,0.01551913368249715,0.10400390625,0.01551913368249715
0,d47kt20jge3c73e1ql8g,8,4096,0.7099609375,0.011003766525161461,0.6357421875,0.011003766525161461
0,d47kt2i10n3c73ebtggg,9,4096,0.11279296875,0.015525289240654954,0.0771484375,0.015525289240654954
0,d47kt2t5mhvc73f83tcg,10,4096,0.6416015625,0.011984970191763132,0.56494140625,0.011984970191763132
1,d47kt3l5mhvc73f83te0,7,4096,0.107421875,0.01553458638689129,0.06982421875,0.01553458638689129
1,d47kt455mhvc73f83tf0,8,4096,0.73583984375,0.010580556454654489,0.63916015625,0.010580556454654489
1,d47kt4i10n3c73ebtgl0,9,4096,0.1123046875,0.015526153410863799,0.09228515625,0.015526153410863799
1,d47kt57bjc5s73d4vp00,10,4096,0.66259765625,0.01170274267078262,0.57177734375,0.01170274267078262
2,d47kt5l5mhvc73f83tgg,7,4096,0.12060546875,0.015510945613189747,0.060546875,0.015510945613189747
2,d47kt5q10n3c73ebtgn0,8,4096,0.751953125,0.010300259044199844,0.66259765625,0.010300259044199844
2,d47kt6fbjc5s73d4vp20,9,4096,0.09130859375,0.01555972883136197,0.083984375,0.01555972883136197
2,d47kt6t5mhvc73f83tjg,10,4096,0.6689453125,0.011614244109347497,0.56591796875,0.011614244109347497
